"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh","-.000826",".002934","-.0002133",".0029464",".0013829",".0027086",".0021349",".0027614",".0013232",".0028067"
"Age of hoh # Age of hoh",".0000382",".0000347",".0000326",".0000346","-2.93e-06",".0000302","-.0000125",".0000305","-2.74e-06",".0000311"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".0392354",".0167655",".0324538",".0177713",".0113075",".0141568",".0036699",".0156568",".0101671",".0148332"
"Hoh is younger than 18 or older than 60","-.0313642",".0323202","-.028633",".0321184",".0277838",".026508",".038701",".0269337",".0281049",".026599"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant","-.0012005",".0314282","-.0000125",".0313156",".0273516",".0227934",".0218295",".0239042",".0291417",".0228681"
"Muslem","-.0023518",".0259931","-.0022335",".0257594",".0255466",".0196468",".0214677",".0193472",".0275475",".0193859"
"Other (Specify)","-.0455209",".0510401","-.0464877",".0513291",".0763681",".0487683",".0614169",".0496643",".0765904",".0479922"
"Hoh is literate","-.0083072",".0165211","-.0076094",".0165616","-.0017085",".0113968",".0009666",".0118927","-.0018758",".0118587"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0001692",".015428","-.0008686",".0153803","-.0117521",".0140471","-.0118464",".0142637","-.0118327",".0140458"
"Secondary","-.025349",".0225627","-.0277844",".022882","-.0343458",".0206095","-.0357332",".0221172","-.0373137",".0201656"
"Tertiary","-.0043906",".0411711","-.0082407",".0426322","-.0594534",".0228329","-.0584245",".0280767","-.0618489",".0232288"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0286656",".0162323","-.0289998",".0164436",".0093191",".0130793",".013541",".0134926",".0075544",".0131753"
"Secondary","-.0339145",".0291345","-.0325796",".0291211",".0261061",".0246503",".0390249",".026954",".0256611",".0250526"
"Tertiary","-.1335188",".0318508","-.1274872",".0366945",".0011605",".045405","-.0161252",".0571413","-.0047097",".0459154"
"Ratio of males to females (1 = 1:1 mix)",".0020096",".0061986",".0022737",".0061758",".005349",".0056816",".0056651",".0058139",".005685",".0057369"
"Dependency Ratio",".0000592",".0001049",".0000703",".0001047","-.0000641",".000082","-.000041",".0000851","-.0000562",".0000829"
"hh male labor age>11 & <60","-.0068439",".010354","-.0038969",".0103116","-.009749",".0084727","-.0047266",".0086184","-.009206",".0083676"
"hh female labor age>11 & <60",".0017619",".0118396",".002545",".011841","-.0058531",".0089702","-.0058005",".0091457","-.0056136",".0089966"
"household size",".0006309",".006744",".0014091",".0067266",".002878",".0050726",".0033982",".0051361",".0035942",".0050584"
"Membership in iddir (ROSCA)",".0086773",".0170895",".0098247",".0166757",".0031759",".0144444",".004293",".0145773","",""
"HH Distance in (KMs) to Nearest Major Road","-.0003706",".0004749","-.0002653",".0004856","-.0011398",".0003155","-.0011276",".000325","-.0010994",".0003251"
"HH Distance in (KMs) to Nearest Population Center with +20,000","-.0011428",".0004738","-.0011026",".0004727","-.0002365",".0003112","-.0001645",".0003237","-.0002485",".0003147"
"HH Distance in (KMs) to Nearest Market",".0007845",".0002881",".0007582",".000283",".0004967",".0002079",".0004774",".000208",".0004999",".0002116"
"HH Distance in (KMs) to Nearest Border Crossing","-.0001129",".0001361","-.0001078",".0001346",".0000129",".0000885","-4.30e-06",".0000896","-8.76e-07",".00009"
"Non-FTF household","0",".","0",".","0",".","0",".","0","."
"FTF household","-.0069807",".0243533","-.0074447",".0241409","-.0264092",".0156875","-.0270623",".0156698","-.0271218",".0159144"
"Tigray","-.0833516",".0416502","-.0887918",".04196","-.0165005",".038759","-.0277773",".0372912","-.009172",".0389757"
"Afar",".2014159",".1034134",".2158402",".1035007",".082629",".0529727",".0596386",".05456",".0751755",".0544837"
"Amhara","-.0454248",".0323749","-.0497652",".0320175","-.0568905",".0237814","-.0624115",".0238321","-.0566644",".0238573"
"Oromia","0",".","0",".","0",".","0",".","0","."
"Somalie","-.0891809",".048968","-.0794429",".0484297","-.0266886",".042272","-.0383728",".043484","-.0266546",".044483"
"Benshagul Gumuz","-.0252903",".0624814","-.0322258",".0632778","-.0280514",".0375756","-.0355192",".0394533","-.0253084",".0384671"
"SNNP",".0259316",".0359315",".02306",".0362318","-.0207811",".0265823","-.0262162",".0262102","-.0242235",".0266351"
"Gambelia","-.0933897",".0486812","-.0898541",".0494756","-.0650726",".0450046","-.084639",".0482736","-.0681069",".0463688"
"Harari","-.1761267",".0442727","-.1736805",".043298","-.0430048",".0391756","-.0439755",".0408218","-.0409165",".0401286"
"Diredwa","-.0943626",".0602157","-.0942818",".059583","-.0557669",".0476966","-.0662932",".0480673","-.0568881",".0474541"
"Total tropical livestock units","","","-.0057648",".0030031","","","-.0024366",".0014695","",""
"wealthIndex","","","-.0099224",".006126","","","-.0088729",".0060634","",""
"land owned in hectares","","","-.0003136",".0007138","","","-.0002402",".0004997","",""
"4 quantiles of areaField =1","","",".004234",".0283778","","",".0366283",".0205784","",""
"4 quantiles of areaField =2","","","-.0138839",".0221107","","",".0298581",".0173102","",""
"4 quantiles of areaField =3","","","-.0233545",".0191768","","","-.0054056",".0137185","",""
"4 quantiles of areaField =4","","","0",".","","","0",".","",""
"L2.Total tropical livestock units","","","","","","","","",".0005795",".0021202"
"L2.wealthIndex","","","","","","","","","-.0030366",".0056993"
"L2.land owned in hectares","","","","","","","","",".0002694",".0004239"
"1L2.4 quantiles of areaField ","","","","","","","","",".0358977",".0198259"
"2L2.4 quantiles of areaField ","","","","","","","","",".0141865",".0165101"
"3L2.4 quantiles of areaField ","","","","","","","","",".0233728",".0149715"
"4bL2.4 quantiles of areaField ","","","","","","","","","0","."
"L2.Membership in iddir (ROSCA)","","","","","","","","",".0177974",".0133564"
