"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".0041833",".0022245",".0039251",".0022503",".0045358",".0024905",".0046827",".0025595",".0038101",".002392"
"Age of hoh # Age of hoh","-.0000437",".0000256","-.0000423",".0000256","-.0000386",".000027","-.0000412",".0000277","-.0000358",".0000263"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".005185",".0211785",".006503",".0211464","-.0180414",".0212948","-.0160112",".0223438","-.0045913",".0205554"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".0453114",".0185507",".0412725",".0183386","-.0321966",".0188485","-.0311305",".0189808","-.0288137",".0184768"
"Hoh is younger than 18 or older than 60",".0020323",".0296694",".0025183",".0298104",".0052881",".0250572",".0080922",".0259602",".0130308",".0250962"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".0283455",".037144",".0156529",".037099",".0215722",".0176352",".0028086",".0187748",".0097851",".0175232"
"Muslem",".0887162",".0322968",".0832663",".032782",".0413694",".0241371",".0358086",".0251981",".037344",".0239276"
"Other (Specify)",".2522289",".0903676",".2344607",".0877647",".0452662",".0765599",".0175038",".0726024",".0336237",".0711586"
"Hoh is literate","-.0436632",".0183131","-.0370062",".0181853",".00844",".0166591",".0235771",".017369",".0153666",".016465"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0429553",".0200568","-.0400722",".0197829","-.0009311",".0150009",".0004402",".0151131","-.0000331",".0147284"
"Secondary","-.0675684",".0252665","-.0493373",".0252721","-.0286016",".0187875","-.0120556",".0188963","-.0077196",".0187465"
"Tertiary","-.0560999",".0369303","-.0192222",".0380146","-.0463836",".025827","-.0081128",".0321735",".0015367",".0253486"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0010962",".0174068",".0058349",".0171506","-.0224453",".0152897","-.0144606",".015642","-.0193866",".0155449"
"Secondary","-.0128553",".0229498",".0055871",".023677","-.0278971",".0221709",".0114881",".0244889","-.0102437",".0212239"
"Tertiary","-.0553332",".0269187","-.001075",".0318144","-.0734951",".0240176","-.0413749",".0321739","-.03764",".0248591"
"Ratio of males to females (1 = 1:1 mix)",".0185503",".007522",".0190092",".0073931",".008821",".00613",".0080882",".0062988",".007713",".0060441"
"Dependency Ratio","6.24e-06",".000103","8.09e-06",".0001015",".0000892",".0000888",".0000703",".0000897",".0000891",".0000901"
"hh male labor age>11 & <60","-.0023943",".011373","-.0046062",".0110914","-.0048802",".0082604","-.0025042",".0085892","-.0060112",".008301"
"hh female labor age>11 & <60",".0058656",".0102701",".0087582",".0102901",".0104519",".0092654",".0088909",".0095585",".0125302",".0091894"
"household size",".0063173",".0065854",".0046572",".0065743",".0006101",".0047208",".0007083",".0048846","-.0019682",".0047686"
"Membership in iddir (ROSCA)","-.0428127",".0235672","-.0380844",".0235117",".0010269",".0212809",".0090839",".0216385","",""
"HH Distance in (KMs) to Nearest Major Road","-.0002812",".0006903","-.0004728",".0007296",".0002231",".0005765",".0001077",".0005768","-.0000953",".0005516"
"HH Distance in (KMs) to Nearest Population Center with +20,000","-.0007617",".0006295","-.0007565",".0006424","-.0000295",".0005122",".0000282",".0005226","-.0000566",".0004798"
"HH Distance in (KMs) to Nearest Market",".0019574",".0003545",".0019904",".0003547",".0004443",".0002747",".0004522",".0002765",".0005539",".000269"
"HH Distance in (KMs) to Nearest Border Crossing","-.0001342",".0001858","-.0001598",".0001859",".0002425",".0001469",".0002436",".0001517",".0002363",".0001423"
"Non-FTF household","0",".","0",".","0",".","0",".","0","."
"FTF household","-.0430315",".0304075","-.0456837",".0303235","-.0076539",".0287642","-.0093083",".0287414","-.0136388",".0280164"
"Tigray","-.0005708",".0543465",".0093939",".0541735",".0877856",".0544199",".0835776",".055764",".09605",".0533751"
"Afar",".0568994",".125523",".0263509",".1238721",".1846464",".1203994",".170132",".1189495",".1693019",".1074209"
"Amhara",".0126067",".0432708",".0168607",".0430898",".0541455",".0328142",".0503937",".0333033",".0617691",".0317114"
"Oromia","0",".","0",".","0",".","0",".","0","."
"Somalie",".2552067",".1072045",".2396297",".1060507",".3362149",".0935879",".3284905",".0940062",".3382621",".0946915"
"Benshagul Gumuz","-.160441",".0560933","-.1530787",".0552165",".0073714",".0446754",".0054563",".0437254",".0110096",".0443752"
"SNNP",".1026713",".0424558",".1084654",".0428005","-.0145727",".0260241","-.023977",".0274209","-.0141023",".0264093"
"Gambelia","-.0470437",".0549135","-.0551011",".0570703","-.0021252",".0338039","-.0078666",".0383805","-.0075697",".0374031"
"Harari","-.1272889",".0626826","-.1176901",".0631547",".0100578",".0553436",".0241988",".0563576",".0179152",".0521784"
"Diredwa",".0451431",".1153658",".0400367",".1147676",".155196",".1006754",".148477",".1047139",".1543884",".0996456"
"Total tropical livestock units","","",".008913",".0035548","","",".0016628",".0023925","",""
"wealthIndex","","","-.0270804",".0071215","","","-.0318905",".0084516","",""
"land owned in hectares","","",".0008465",".0006374","","","-.0013226",".0007883","",""
"4 quantiles of areaField =1","","",".0264291",".0297482","","",".0287704",".0290104","",""
"4 quantiles of areaField =2","","",".0477458",".0296827","","",".0378104",".0268776","",""
"4 quantiles of areaField =3","","",".0401939",".0228526","","",".0184191",".0237701","",""
"4 quantiles of areaField =4","","","0",".","","","0",".","",""
"L2.Total tropical livestock units","","","","","","","","",".0082551",".0035705"
"L2.wealthIndex","","","","","","","","","-.0202559",".0046935"
"L2.land owned in hectares","","","","","","","","",".0005485",".0007492"
"1L2.4 quantiles of areaField ","","","","","","","","","-.0228692",".0266849"
"2L2.4 quantiles of areaField ","","","","","","","","",".0416552",".0266416"
"3L2.4 quantiles of areaField ","","","","","","","","",".017307",".0197798"
"4bL2.4 quantiles of areaField ","","","","","","","","","0","."
"L2.Membership in iddir (ROSCA)","","","","","","","","","-.0014204",".0202699"
"Constant","-.0800048",".0959076","-.1087666",".0942075","-.1674934",".0813446","-.1935261",".0845902","-.1634631",".0759245"
"Observations","3545","","3543","","3584","","3460","","3554",""
