"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh","-.0009444",".0029138","-.0003359",".0029265",".0020993",".0027452",".0028273",".0027883",".0018498",".0028115"
"Age of hoh # Age of hoh",".0000388",".0000344",".0000332",".0000344","-.000011",".0000303","-.0000203",".0000305","-9.10e-06",".0000308"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1","-.0027193",".0216473","-.0075306",".022064","-.0254388",".0163237","-.0359939",".0175215","-.0272151",".0166046"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1","-.0720963",".0234182","-.0696099",".0234463","-.056751",".0174829","-.0615969",".0179562","-.0589877",".0177916"
"Hoh is younger than 18 or older than 60","-.0339574",".0322049","-.0310349",".0319872",".0277309",".0264953",".0379832",".0269943",".0277183",".0266037"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant","-.0010044",".0310671",".0002551",".0309584",".0252287",".0224045",".0196084",".0234907",".0271545",".0224689"
"Muslem",".0005367",".0260339",".0004236",".0257687",".0214943",".0204653",".0167432",".020204",".0235502",".0201545"
"Other (Specify)","-.0471258",".0504798","-.0477199",".0506874",".0709242",".0487875",".0556576",".0497691",".0714146",".0479014"
"Hoh is literate","-.0072954",".016393","-.0063386",".0164112","-.0001664",".0113762",".0026065",".0119259","-.0009227",".0118229"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0010426",".0154864","-.0022151",".0154572","-.0147976",".0139936","-.0149554",".0142031","-.0151869",".0140179"
"Secondary","-.0303916",".0227691","-.0327061",".0232206","-.0404277",".0204396","-.0417207",".0218603","-.0446161",".0202011"
"Tertiary","-.0064063",".0408587","-.0098084",".0423405","-.0692678",".0233368","-.0702821",".0280044","-.0740676",".024481"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0248791",".0162018","-.0251162",".0164642",".0099421",".0130311",".01373",".0134335",".0078488",".0131504"
"Secondary","-.0296999",".0288314","-.0278762",".0288031",".0289159",".0246857",".042622",".0269695",".0271526",".025256"
"Tertiary","-.1231945",".031834","-.1155894",".0362526",".0053315",".0462602","-.0129802",".0578297","-.0027154",".0472617"
"Ratio of males to females (1 = 1:1 mix)",".0055539",".0061893",".0056292",".0061548",".0080188",".0057358",".0084199",".0058851",".0084241",".0057775"
"Dependency Ratio",".000083",".0001044",".0000919",".0001042","-.0000614",".0000826","-.0000393",".0000858","-.0000568",".0000833"
"hh male labor age>11 & <60","-.0100804",".0103179","-.0070831",".010297","-.0121777",".0084558","-.0075553",".0086034","-.0119961",".0083711"
