"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh","-.0011615",".0029891","-.0003374",".002993",".0013959",".0026031",".0022737",".0026473",".0015253",".0026569"
"Age of hoh # Age of hoh",".0000453",".0000349",".0000379",".0000348","3.14e-06",".00003","-7.47e-06",".0000304","1.63e-06",".0000304"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".019224",".0218376",".0143852",".0223211","-.0253367",".0154145","-.0366762",".0166803","-.0290383",".0155994"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".0028241",".0228007",".0057852",".0221624","-.0153015",".0177078","-.0173044",".0182475","-.0160433",".0179758"
"Hoh is younger than 18 or older than 60","-.0302508",".0302771","-.0274695",".0301659",".0152747",".0269615",".0266874",".0275275",".0163191",".0269848"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant","-.0155883",".0277408","-.0143563",".0274398",".0269782",".0227993",".0162368",".0235371",".0266199",".022688"
"Muslem","-.0064709",".0258857","-.0085736",".0253547",".0309282",".0209136",".0257938",".0204538",".0304592",".0208318"
"Other (Specify)","-.0717576",".0502033","-.0753773",".0500906",".0554348",".046802",".0353197",".0469806",".0511499",".0453211"
"Hoh is literate","-.0132428",".0158471","-.0104016",".0160443",".0051635",".0115111",".0093933",".0120147",".0031968",".0120127"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0144116",".0168875",".0120853",".0168381","-.0064656",".0139651","-.0052945",".0140029","-.004561",".0138381"
"Secondary","-.0091887",".0242077","-.0175257",".0239852","-.041712",".0189882","-.0409313",".0200816","-.0434384",".0188265"
"Tertiary","-.0015419",".0352422","-.010193",".036096","-.0622647",".0230396","-.0561443",".0290276","-.0653526",".0236057"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0324177",".0156935","-.0342225",".0160302",".0046231",".0130452",".0084493",".0134515",".0034967",".0130645"
"Secondary","-.0414592",".024709","-.0395296",".0256508",".0176014",".02301",".0333094",".024229",".016659",".023078"
"Tertiary","-.1135737",".0313743","-.1093041",".0364134",".0034173",".0448036","-.0047522",".0551062","-.0016228",".0450432"
