"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".0271842",".0117891",".031267",".0118624",".0301555",".0142193",".0390248",".0145094",".0329249",".0141155"
"Age of hoh # Age of hoh","-.00025",".0001287","-.0002912",".0001285","-.0002222",".0001566","-.0003259",".0001568","-.0002513",".0001558"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".2576756",".1030528",".2327452",".0998982",".0381503",".1111278","-.0829029",".113464","-.0302846",".1124537"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1","-.1794912",".1062014","-.1654517",".1042266","-.2773643",".1036976","-.233806",".1038134","-.2785458",".1051194"
"Hoh is younger than 18 or older than 60",".2354122",".166131",".2654772",".1701918","-.1322767",".146977","-.0271687",".1413144","-.1091302",".144773"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".3488533",".1400865",".294136",".1414691",".3827746",".1482475",".1579768",".1453545",".2675057",".1411153"
"Muslem",".2746161",".1279329",".231199",".1286429",".30073",".1498689",".1990419",".1507549",".2216846",".1542927"
"Other (Specify)",".5203862",".3271128",".402081",".3323944",".3182156",".3375682","-.0436151",".3342393",".1436215",".3454529"
"Hoh is literate","-.1430865",".0673738","-.118404",".0684869","-.0903532",".0898343",".0319283",".0894435","-.0869703",".0902689"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0893358",".0856512","-.0966072",".0838848",".0128578",".0857923",".027631",".0830118",".0260096",".083373"
"Secondary","-.2211902",".1183597","-.2201908",".11714","-.1525603",".1034317","-.0880077",".104834","-.1289014",".1036678"
"Tertiary","-.2450969",".1427456","-.2326826",".1366653","-.4863619",".1806665","-.4361948",".2381903","-.4413052",".1890112"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0141189",".0716972","-.0140281",".0712343","-.1660812",".0737525","-.1006348",".0730773","-.1662515",".0745191"
"Secondary","-.2404314",".1028412","-.2225665",".1088193","-.2577467",".1226705",".0204517",".1264643","-.2343815",".1267804"
