"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".0079495",".0038763",".0084944",".003839","-.0101069",".0038332","-.0080862",".0038391","-.0094442",".0037757"
"Age of hoh # Age of hoh","-.0000971",".0000414","-.0001046",".0000407",".0001154",".0000408",".0000971",".0000408",".0001104",".00004"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".012529",".0324768","-.00135",".0325588",".0042409",".0303934","-.0237387",".0307735","-.0053105",".0311419"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".0007984",".031222",".0032476",".0315066","-.0646772",".0298856","-.056211",".0297584","-.0581867",".0299368"
"Hoh is younger than 18 or older than 60",".0818186",".0391094",".0938951",".0389045",".0040883",".038162",".0111458",".0381499",".0041746",".0381133"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".0374674",".0679584",".0218005",".0669271",".0678574",".0656634",".0839735",".0641049",".0689686",".0657721"
"Muslem",".0673995",".0645398",".0506248",".0642251","-.0611769",".0636762","-.0640484",".0646418","-.0586892",".0637011"
"Other (Specify)",".1206657",".117466",".0830305",".1139585",".1825268",".1110069",".1827546",".1085639",".1758906",".1090887"
"Hoh is literate",".0258483",".0283747",".023843",".028634",".0070953",".0272791","-.0221804",".0266008",".000155",".0275073"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0246788",".0262282","-.0248035",".0264679",".0052012",".0268455",".0052818",".0268966",".007194",".02659"
"Secondary",".0067708",".036464","-.0059457",".0365113",".0712374",".0388014",".0465479",".0391566",".0611903",".0380775"
"Tertiary",".0856364",".0586202",".0613628",".0590792",".1902074",".0668818",".1661609",".0741314",".1550551",".0676984"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0457791",".0283522",".0398271",".0285217",".04274",".0274101",".0347748",".027663",".0393886",".0274851"
"Secondary",".071187",".0461729",".0573803",".0462996",".0696545",".0440284",".017504",".0428234",".0540522",".0419"
"Tertiary",".12575",".1003107",".0956098",".1005298",".0617131",".0892364","-.106143",".1178017",".0251457",".0838897"
