"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".0012365",".0030433",".0019519",".0030571",".0024695",".0027779",".0035197",".0028392",".0032243",".0027318"
"Age of hoh # Age of hoh","-3.88e-06",".0000334","-.0000108",".0000334","-.0000184",".0000305","-.0000293",".000031","-.0000246",".0000301"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".0235471",".0271196",".0225106",".0278023",".0268678",".0223443",".0159912",".0227627",".0211682",".0214797"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".0568472",".027087",".0553562",".0268345",".0284986",".0201209",".028048",".0207302",".0270172",".0203554"
"Hoh is younger than 18 or older than 60","-.0215346",".0351099","-.0173204",".0352443","-.0021335",".0286548",".0029751",".0295136","-.0025274",".0285342"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".0612249",".047287",".0539226",".0465648",".0264033",".028509",".0090277",".0296008",".0206633",".0288543"
"Muslem",".1477412",".0477884",".1410914",".0478952",".0606866",".0324583",".0490055",".0340237",".0557802",".0331017"
"Other (Specify)",".0648778",".079999",".0509091",".0787753",".1142398",".0881404",".0901438",".0881669",".1055338",".0863947"
"Hoh is literate",".0012758",".0221301",".0121318",".0221901","-.0008791",".0168084",".0032007",".0170457",".001578",".016802"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0346887",".0233301",".0320328",".0232641","-.0045204",".0174913","-.0023825",".0170971","-.0038991",".0173533"
"Secondary",".0815348",".0323285",".0841044",".0323272","-.0137762",".0247328","-.0042386",".0260971","-.0091115",".02532"
"Tertiary",".0451964",".0545535",".0645413",".05336","-.0228066",".0368503",".0082656",".0469333","-.0240221",".0371726"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary",".0469045",".0228982",".0488102",".0229365","-.0179924",".0160634","-.0177776",".0163627","-.0163102",".0164514"
"Secondary","-.0040586",".0359495",".0115926",".0365106","-.0497516",".0242349","-.0351998",".0273843","-.0452153",".0251963"
"Tertiary","-.0230653",".0815607",".0163152",".0788352","-.1144405",".0429917","-.0806235",".0647356","-.0963712",".0424205"
"Ratio of males to females (1 = 1:1 mix)","-.0065902",".0076548","-.0069393",".0075319","-.0060889",".0064491","-.0078835",".0063268","-.005982",".0063469"
"Dependency Ratio",".0001604",".0001186",".0001638",".0001188",".0000974",".0001083",".0001352",".0001101",".0000884",".0001078"
"hh male labor age>11 & <60",".0027904",".0135495",".0078725",".013566",".0044998",".0103009",".0110985",".0106549",".0060371",".0104711"
"hh female labor age>11 & <60","-.0007792",".013744","-.0000812",".0135997",".0135399",".011026",".0162359",".0112501",".0129758",".0110441"
"household size","-.0084941",".0081879","-.0078886",".0081598","-.0014485",".0063999","-.001221",".0064052",".0000321",".0065368"
"Membership in iddir (ROSCA)","-.0236485",".0265162","-.0206825",".026614","-.0016609",".0221985",".0001001",".0228498","",""
"HH Distance in (KMs) to Nearest Major Road",".0007521",".000864",".000894",".0008976","-.0003627",".0006682","-.0002895",".0006666","-.0002255",".0007442"
"HH Distance in (KMs) to Nearest Population Center with +20,000",".0003412",".0007286",".0003903",".0007244","-.0003349",".0005534","-.0002977",".0005607","-.0002528",".0005643"
"HH Distance in (KMs) to Nearest Market","-.0004729",".0004835","-.0004535",".0004814",".000377",".0003124",".0003687",".0003102",".0002767",".0002909"
"HH Distance in (KMs) to Nearest Border Crossing",".0002349",".0002334",".0002383",".0002315",".0000624",".0001565",".0000408",".0001605",".0000354",".0001556"
"Non-FTF household","0",".","0",".","0",".","0",".","0","."
"FTF household",".0200908",".0423291",".0189849",".0420277",".0362981",".035518",".038684",".0355369",".0418368",".0351411"
"Tigray","-.0550616",".0711684","-.0676653",".0712276","-.063445",".0578752","-.0781552",".0598662","-.0702588",".0605378"
"Afar",".0308087",".1205997",".0545854",".120348",".0379297",".1186773",".0215006",".1194947",".0314566",".1163549"
"Amhara","-.0267158",".0581237","-.0330431",".0576312","-.0768731",".0412444","-.0914215",".0424183","-.0847417",".0408469"
"Oromia","0",".","0",".","0",".","0",".","0","."
"Somalie",".0510746",".119051",".0625676",".1174825",".2541933",".0903348",".2371023",".0913296",".2339503",".089829"
"Benshagul Gumuz","-.1685685",".0776795","-.1784421",".077516","-.0981305",".0591301","-.1093034",".0607042","-.1077739",".0589294"
"SNNP",".1219445",".0595128",".1099174",".0596443","-.1176352",".0421719","-.1320235",".0427438","-.1240295",".0418949"
"Gambelia","-.2121941",".0623909","-.2156334",".062671","-.1090271",".0509358","-.1327876",".0534657","-.1223411",".054084"
"Harari","-.200917",".1141241","-.1980182",".1134938",".1659767",".1452341",".1680146",".1458772",".1599868",".144538"
"Diredwa",".0537196",".144133",".041542",".1444717",".2541326",".117967",".2379428",".120962",".2378586",".1167785"
"Total tropical livestock units","","","-.0058568",".0029517","","","-.0048597",".0023639","",""
"wealthIndex","","","-.0249997",".0100573","","","-.0192661",".0096615","",""
"land owned in hectares","","","-.0023909",".0009586","","","-.0004658",".0010488","",""
"4 quantiles of areaField =1","","","-.0099805",".0391262","","",".0482325",".0300902","",""
"4 quantiles of areaField =2","","",".0137222",".0363892","","",".0353652",".0271284","",""
"4 quantiles of areaField =3","","",".0175275",".0255641","","",".0449537",".020081","",""
"4 quantiles of areaField =4","","","0",".","","","0",".","",""
"L2.Total tropical livestock units","","","","","","","","","-.0024826",".0031578"
"L2.wealthIndex","","","","","","","","","-.0166366",".0068512"
"L2.land owned in hectares","","","","","","","","","-.0007809",".0010053"
"1L2.4 quantiles of areaField ","","","","","","","","",".0280978",".029377"
"2L2.4 quantiles of areaField ","","","","","","","","",".0306383",".0274551"
"3L2.4 quantiles of areaField ","","","","","","","","",".0378653",".0194605"
"4bL2.4 quantiles of areaField ","","","","","","","","","0","."
"L2.Membership in iddir (ROSCA)","","","","","","","","",".0121561",".0220691"
"Constant",".0451766",".1250672",".0260826",".1250755",".0382656",".0950139",".0000974",".098372",".0023091",".096594"
"Observations","3553","","3551","","3584","","3460","","3554",""
