"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".0032273",".002932",".0041355",".0029269",".0034066",".0030508",".0051363",".0029837",".004633",".0030345"
"Age of hoh # Age of hoh","-.0000274",".000033","-.0000375",".0000329","-.0000128",".0000341","-.0000326",".0000329","-.000026",".0000337"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".0581692",".0220657",".0420851",".022406",".0669034",".0211848",".041332",".0214362",".0538558",".0216589"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".0289344",".0221295",".0351676",".0221477","-.0307755",".0209584","-.0198615",".0214673","-.0277795",".0213853"
"Hoh is younger than 18 or older than 60",".0057526",".0339937",".0153731",".0338495","-.0699193",".0296394","-.0503759",".0284216","-.0607021",".0295041"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".0116921",".0377855",".0009566",".0371169",".0631425",".0303929",".0206506",".0283703",".0422837",".0290278"
"Muslem",".0027693",".0271811","-.0061363",".0273996",".0093519",".0240124","-.0144787",".0244216","-.0023857",".0247563"
"Other (Specify)",".1201477",".0827732",".0911774",".0792677",".1370312",".0689139",".0664546",".0677556",".1039062",".0673238"
"Hoh is literate","-.0111833",".0170954","-.0132802",".016985","-.0140978",".0179512","-.0028322",".0179544","-.0165767",".017742"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0101944",".0190152","-.0097351",".0185831","-.0004562",".0168784","-.0006069",".0168124",".0030099",".016538"
"Secondary","-.0160582",".0280443","-.021173",".0287868","-.0175067",".0248658","-.0174024",".0259766","-.0148371",".0250724"
"Tertiary","-.0348404",".0410809","-.0507765",".0424211","-.0759916",".0298202","-.0893314",".0352","-.0661305",".031395"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0086361",".0170753","-.012059",".016775","-.0324735",".0157192","-.0268943",".0159556","-.0325973",".0155709"
"Secondary","-.0289397",".0310749","-.0370073",".0311526","-.0200554",".0247998","-.0042439",".0285152","-.0222077",".0252162"
"Tertiary","-.1336371",".0270904","-.140839",".0338783","-.1166952",".0394835","-.1380149",".0595261","-.1149289",".0397035"
"Ratio of males to females (1 = 1:1 mix)",".0050225",".0071123",".0083623",".0071153","-.0007687",".0064966","-.0012562",".0064615",".0010789",".0064955"
"Dependency Ratio",".0000378",".0001111",".0000534",".0001124",".00005",".0000951",".0000882",".0000961",".0000535",".0000968"
"hh male labor age>11 & <60","-.0160974",".0110116","-.0113136",".0111956","-.0163409",".0087707","-.0038963",".0088139","-.0122532",".0086572"
"hh female labor age>11 & <60","-.0050717",".0114625",".0014301",".0119411","-.0047396",".0103493",".0004131",".0103837","-.000808",".0103332"
"household size",".0023608",".0066846",".0041133",".0067746","-.0023511",".005582",".0020681",".0057117",".0003496",".0056586"
"Membership in iddir (ROSCA)","-.0276541",".0180612","-.0228756",".0178157","-.0364517",".0185713","-.0203739",".0178795","",""
"HH Distance in (KMs) to Nearest Major Road","-.0008991",".0004423","-.0008193",".0004461","-.0009591",".0004873","-.000945",".0004924","-.0008439",".0005036"
"HH Distance in (KMs) to Nearest Population Center with +20,000","-.0011533",".0004251","-.0010983",".0004183","-.0008142",".0004492","-.0006823",".0004523","-.0007177",".0004507"
"HH Distance in (KMs) to Nearest Market",".000166",".0003142",".0001121",".0003086",".0000801",".0002539",".0000182",".0002536",".0000687",".0002529"
"HH Distance in (KMs) to Nearest Border Crossing",".0001564",".0001519",".0001178",".0001539","-8.78e-06",".0001475","-.000056",".0001449","-.0000622",".0001499"
"Non-FTF household","0",".","0",".","0",".","0",".","0","."
"FTF household",".0461476",".0291822",".0491797",".0292605","-.0232254",".0252802","-.0170315",".0246845","-.0200369",".0250143"
"Tigray","-.0811331",".0409661","-.0916173",".0421535","-.0202644",".044034","-.0490709",".0449334","-.0328905",".0455059"
"Afar",".1186744",".0793279",".0645892",".0756845",".124855",".0973861",".038289",".0990685",".0673294",".0990559"
"Amhara","-.0674334",".0349552","-.0764721",".035654",".0073703",".0328221","-.0227747",".032199","-.0062356",".0332065"
"Oromia","0",".","0",".","0",".","0",".","0","."
"Somalie",".0135898",".0703047","-.0097179",".0685141",".029377",".0637858","-.0280046",".0643735",".0076184",".0639407"
"Benshagul Gumuz",".0284733",".0582303",".0233757",".061543",".0146531",".0635399",".0008631",".065125","-.0047727",".0615632"
"SNNP",".0757186",".0426727",".0707309",".04306",".0449999",".0339514",".0195803",".032508",".0293699",".0338568"
"Gambelia","-.0206403",".0546378","-.0547741",".0581909","-.0031055",".050933","-.060859",".0519801","-.0542684",".0535455"
"Harari","-.1712449",".0502613","-.1787951",".0528499","-.152595",".0475923","-.1589482",".0494696","-.1634531",".0510812"
"Diredwa","-.0610441",".0521979","-.0729221",".0539417",".0579007",".0777647",".0273749",".0778057",".0502982",".0802607"
"Total tropical livestock units","","",".0002065",".0026769","","","-.0038101",".0015158","",""
"wealthIndex","","","-.0168878",".007452","","","-.0388732",".0089396","",""
"land owned in hectares","","",".0010682",".0009411","","","-.0002811",".0005143","",""
"4 quantiles of areaField =1","","",".1278691",".0307408","","",".209981",".0277715","",""
"4 quantiles of areaField =2","","",".087845",".0274119","","",".1418786",".0242212","",""
"4 quantiles of areaField =3","","",".03959",".0170411","","",".0442773",".0173792","",""
"4 quantiles of areaField =4","","","0",".","","","0",".","",""
"L2.Total tropical livestock units","","","","","","","","","-.0002418",".0031934"
"L2.wealthIndex","","","","","","","","","-.0209694",".006939"
"L2.land owned in hectares","","","","","","","","",".0003564",".0004534"
"1L2.4 quantiles of areaField ","","","","","","","","",".1221429",".0248619"
"2L2.4 quantiles of areaField ","","","","","","","","",".1367939",".0250555"
"3L2.4 quantiles of areaField ","","","","","","","","",".0707392",".0174887"
"4bL2.4 quantiles of areaField ","","","","","","","","","0","."
"L2.Membership in iddir (ROSCA)","","","","","","","","","-.0127555",".0178373"
"Constant",".0793495",".0904081","-.0094329",".0901876",".1509921",".0907244",".015451",".0946886",".0332781",".0923977"
"Observations","3545","","3543","","3581","","3457","","3551",""
