"","b","se","b","se","b","se","b","se","b","se"
"Age of hoh",".002682",".0035566",".0029389",".0035469",".0073845",".003524",".00854",".0035756",".0081598",".0034605"
"Age of hoh # Age of hoh","-3.11e-06",".0000377","-6.34e-06",".0000374","-.0000578",".0000375","-.0000728",".0000378","-.0000671",".0000367"
"Female head of household=0","0",".","0",".","0",".","0",".","0","."
"Female head of household=1",".0185052",".0295052",".0174637",".0299482",".0119412",".0269188","-.0063612",".0275606",".008451",".0271115"
"Married hoh (any type)=0","0",".","0",".","0",".","0",".","0","."
"Married hoh (any type)=1",".029273",".029538",".0266602",".0293701","-.0581689",".0281219","-.0660188",".0284056","-.0616753",".0283618"
"Hoh is younger than 18 or older than 60","-.0400085",".0355569","-.0377612",".0355538","-.0035986",".0347253",".0097357",".0357539",".0012469",".0345187"
"Orthodox","0",".","0",".","0",".","0",".","0","."
"Protestant",".0890765",".0477883",".0772983",".0475935",".0577486",".0392154",".0291069",".0402451",".0453395",".0391235"
"Muslem",".1451525",".0487734",".1401447",".0485779",".0872218",".0426562",".0698497",".0434686",".0811255",".043121"
"Other (Specify)",".1896779",".085437",".1715271",".0842686",".1952213",".1016035",".1537653",".1009493",".1778761",".098194"
"Hoh is literate","-.0351479",".0238526","-.0233121",".0239751","-.0015759",".0227014",".015825",".0229049",".0045043",".0229391"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0006173",".0241879",".0001517",".0242029","-.0146266",".0238233","-.0151562",".0234424","-.0133764",".0232218"
"Secondary","-.003168",".0329439",".0138518",".0326881","-.0592181",".0314615","-.0408938",".0329849","-.0415706",".031923"
"Tertiary",".0288254",".0569707",".0747275",".0573214","-.1240602",".0484683","-.0837699",".0569627","-.0932577",".0498532"
"No education","0",".","0",".","0",".","0",".","0","."
"Primary","-.0018033",".0247348",".0028786",".0247158","-.0109614",".0212067","-.0027243",".0220409","-.0073154",".0214972"
"Secondary","-.0497612",".0403787","-.0217537",".0403543","-.0323341",".0350516",".0127493",".0370132","-.0138499",".0354309"
"Tertiary","-.1761735",".0765464","-.0969187",".0727159","-.1435935",".0740247","-.1526413",".0928497","-.1012989",".0727419"
"Ratio of males to females (1 = 1:1 mix)",".0046144",".0087397",".0041288",".0086902",".005902",".0083275",".0049007",".0080944",".005348",".0083949"
"Dependency Ratio",".000262",".0001258",".0002727",".0001267",".0000183",".0001248",".000058",".0001229",".0000249",".0001256"
