XCoord,YCoord,FID,OBJECTID,JOIN_COUNT,TARGET_FID,HOUSEHOLD_,HOUSEHOLD1,EA_ID,EA_ID2,RURAL,SAQ01,YEAR,PTRACK,REGION,LATITUDE,LONGITUDE,JOIN_COU_1,TARGET_F_1,WEREDA_ID,RECNO,W6ID,NAME,ISO_CTRY,OLDLVLID,D_POINT,SHAPE_LENG,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,SHAPE_LE_1,SHAPE_AR_1
380308.34010156,1586937.47931055,0,1,5,38,1010101601160.000000,1010101601160.000000,101010160,101010160,Rural,Tigray,2012,Only in 1st wave,Tigray,14.353816,37.890876,1,0,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,1,2,5,38,1010101601000.000000,10101088801600000.000000,101010160,101010160,Rural,Tigray,2012,Both waves,Tigray,14.353816,37.890876,1,1,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,2,3,5,38,1010101601000.000000,10101088801600000.000000,101010160,0,Rural,Tigray,2014,Both waves,Tigray,14.353816,37.890876,1,2,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,3,4,5,38,1010101601020.000000,10101088801600000.000000,101010160,101010160,Rural,Tigray,2012,Both waves,Tigray,14.353816,37.890876,1,3,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,4,5,5,38,1010101601020.000000,10101088801600000.000000,101010160,0,Rural,Tigray,2014,Both waves,Tigray,14.353816,37.890876,1,4,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,5,6,5,38,1010101601030.000000,10101088801600000.000000,101010160,101010160,Rural,Tigray,2012,Both waves,Tigray,14.353816,37.890876,1,5,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,6,7,5,38,1010101601030.000000,10101088801600000.000000,101010160,0,Rural,Tigray,2014,Both waves,Tigray,14.353816,37.890876,1,6,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,7,8,5,38,1010101601050.000000,10101088801600000.000000,101010160,101010160,Rural,Tigray,2012,Both waves,Tigray,14.353816,37.890876,1,7,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,8,9,5,38,1010101601050.000000,10101088801600000.000000,101010160,0,Rural,Tigray,2014,Both waves,Tigray,14.353816,37.890876,1,8,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
380308.34010156,1586937.47931055,9,10,5,38,1010101601060.000000,10101088801600000.000000,101010160,101010160,Rural,Tigray,2012,Both waves,Tigray,14.353816,37.890876,1,9,222.000000,222.000000,010102,Tahtay Adiyabo,ET,ETP007005007000000000,0,349771.368222,74,ETH,Ethiopia,11,Tigray,72,Western Tigray,559,Asegede Tsimbela,Woreda,District, ,Asegede Tsimbila|Asgedi,2.583433,0.197058
