"","indivID2012","hhID2012","eaID2012","rural","hhWeight","region","zone","woreda","town","subcity","kebele","ea","hhIDTrunc","hhMemberID","over5y","literate","attendedSchool","whyGo2School","highestGrade","inSchool","whyNotInSchool","gradeInSchool","schoolOrgType","absentFromSchool","whyAbsent","howGet2School","time2School","scholarship","amtScholarship","amt2EduFees","amt2EduSuppl","goNextYr","regionComb"
"1","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,1,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"2","0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,2,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"3","0101010160100203","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,3,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"4","0101010160100204","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,4,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"5","0101010160100205","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,5,1,1,1,NA,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"6","0101010160100206","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,6,1,1,1,NA,2,1,NA,3,NA,0,NA,1,3,2,NA,20,72,1,"Tigray"
"7","0101010160100207","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,7,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Tigray"
"8","0101010160100208","01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tigray"
"9","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,1,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"10","0101010160101702","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,2,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"11","0101010160101703","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,3,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"12","0101010160101704","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,4,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Tigray"
"13","0101010160101705","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,5,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Tigray"
"14","0101010160101706","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,6,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Tigray"
"15","0101010160101707","01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tigray"
"16","0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,1,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"17","0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,1,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"18","0101010160104902","01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,2,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"19","0101010160104903","01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,3,1,1,1,NA,2,1,NA,3,1,0,NA,1,1,2,NA,0,44,1,"Tigray"
"20","0101010160104904","01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,4,1,1,1,NA,2,1,NA,3,1,0,NA,1,1,2,NA,0,44,1,"Tigray"
"21","0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,1,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"22","0101010160106402","01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,2,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"23","0101010160106403","01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,3,1,1,1,NA,7,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"24","0101010160106404","01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,4,1,1,1,NA,5,1,NA,6,1,0,NA,1,1,2,NA,0,108,1,"Tigray"
"25","0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,1,1,1,1,NA,8,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Tigray"
"26","0101010160108002","01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,2,1,1,1,NA,2,1,NA,3,1,0,NA,1,1,2,NA,0,50,1,"Tigray"
"27","0101010160108003","01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,3,1,0,1,NA,0,1,NA,1,1,0,NA,1,1,2,NA,0,18,1,"Tigray"
"28","0101010160108004","01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,4,1,0,1,NA,0,1,NA,1,1,0,NA,1,1,2,NA,0,18,1,"Tigray"
