"","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"1","0101010160100201",77,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"2","0101010160100202",40,NA,1,3,1,2,1,NA,NA,NA,NA,NA,NA
"3","0101010160100203",35,NA,2,9,1,2,1,NA,NA,NA,NA,NA,NA
"4","0101010160100204",18,NA,1,4,1,1,1,NA,NA,NA,NA,NA,NA
"5","0101010160100205",13,NA,1,4,NA,NA,1,1,98,1,1,98,1
"6","0101010160100206",9,NA,2,4,NA,NA,1,1,98,1,1,98,1
"7","0101010160100207",5,NA,1,4,NA,NA,1,1,98,1,1,98,1
"8","0101010160100208",NA,50,2,4,NA,NA,1,1,98,1,1,98,1
"9","0101010160101701",36,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"10","0101010160101702",31,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"11","0101010160101703",13,NA,1,3,1,1,1,1,98,1,1,98,1
"12","0101010160101704",11,NA,1,3,1,1,1,1,98,1,1,98,1
"13","0101010160101705",9,NA,2,3,NA,NA,1,1,98,1,1,98,1
"14","0101010160101706",7,NA,2,3,NA,NA,1,1,98,1,1,98,1
"15","0101010160101707",NA,56,1,3,NA,NA,1,1,98,1,1,98,1
"16","0101010160103401",70,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"17","0101010160104901",30,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
"18","0101010160104902",58,NA,2,3,1,6,1,NA,NA,NA,NA,NA,NA
"19","0101010160104903",11,NA,2,3,1,1,1,2,4,1,1,98,1
"20","0101010160104904",9,NA,2,3,NA,NA,1,2,4,1,1,98,1
"21","0101010160106401",69,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"22","0101010160106402",47,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"23","0101010160106403",18,NA,2,3,1,1,1,NA,NA,NA,NA,NA,NA
"24","0101010160106404",11,NA,2,4,1,1,1,1,98,1,1,98,1
"25","0101010160108001",24,NA,2,1,1,4,1,NA,NA,NA,NA,NA,NA
"26","0101010160108002",8,NA,1,3,NA,NA,1,2,7,1,1,8,1
"27","0101010160108003",5,NA,2,3,NA,NA,1,2,7,1,1,8,1
"28","0101010160108004",5,NA,2,3,NA,NA,1,2,7,1,1,8,1
"29","0101010160108701",36,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"30","0101010160108702",28,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"31","0101010160108703",15,NA,2,3,1,1,1,1,9,8,1,98,8
"32","0101010160108704",5,NA,2,3,NA,NA,1,1,9,8,1,98,8
"33","0101010160108705",NA,31,1,3,NA,NA,1,1,9,8,1,98,8
"34","0101010160110101",30,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"35","0101010160110102",20,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"36","0101010160110103",5,NA,1,3,NA,NA,1,1,2,1,1,6,1
"37","0101010160110104",NA,13,1,3,NA,NA,1,1,2,1,1,6,1
"38","0101010160111601",50,NA,1,1,1,6,1,NA,NA,NA,NA,NA,NA
"39","0101010160111602",12,NA,1,3,1,1,1,1,98,1,2,1,1
"40","0101010160111603",9,NA,1,3,NA,NA,1,1,98,1,2,1,1
"41","0101010160111604",6,NA,1,3,NA,NA,1,1,98,1,2,1,1
"42","0101010160113101",41,NA,1,1,1,4,1,NA,NA,NA,NA,NA,NA
"43","0101010160114601",77,NA,2,1,1,6,1,NA,NA,NA,NA,NA,NA
"44","0101010160114602",37,NA,2,3,1,4,1,NA,NA,NA,NA,NA,NA
"45","0101010160116201",28,NA,2,1,1,2,3,NA,NA,NA,NA,NA,NA
"46","0101010160116202",8,NA,2,3,NA,NA,1,2,3,14,1,98,3
"47","0101020140300101",50,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA
"48","0101020140300102",40,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA
"49","0101020140300103",20,NA,1,3,1,2,1,NA,NA,NA,NA,NA,NA
