"","indivID2014","indivID2012","ageY","ageM","sex","relHH","relig","married","regionBorn","bioDadinHH","bioDadEduc","bioDadJob","bioMominHH","bioMomEduc","bioMomJob"
"1","01010108880160100201","0101010160100201",78,NA,2,1,1,6,1,2,98,1,2,98,1
"2","01010108880160100202","0101010160100202",41,NA,1,3,1,2,1,2,98,1,1,98,1
"3","01010108880160100203","0101010160100203",36,NA,2,9,1,2,1,2,98,1,2,98,1
"4","01010108880160100204","0101010160100204",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","01010108880160100205","0101010160100205",16,NA,1,4,1,1,1,1,98,1,1,98,1
"6","01010108880160100206","0101010160100206",13,NA,2,4,1,1,1,1,98,1,1,98,1
"7","01010108880160100207","0101010160100207",6,8,1,4,NA,NA,1,1,98,1,1,98,1
"8","01010108880160100208","0101010160100208",5,3,2,4,NA,NA,1,1,98,1,1,98,1
"9","01010108880160100209","0101010160100209",0,6,2,4,NA,NA,1,1,98,1,1,98,1
"10","01010108880160101701","0101010160101701",37,NA,1,1,1,2,1,2,98,1,2,98,1
"11","01010108880160101702","0101010160101702",30,NA,2,2,1,2,1,2,98,1,2,98,1
"12","01010108880160101703","0101010160101703",14,NA,1,3,1,1,1,1,98,1,1,98,1
"13","01010108880160101704","0101010160101704",13,NA,1,3,1,1,1,1,98,1,1,98,1
"14","01010108880160101705","0101010160101705",10,NA,2,3,1,1,1,1,98,1,1,98,1
"15","01010108880160101706","0101010160101706",6,6,2,3,NA,NA,1,1,98,1,1,98,1
"16","01010108880160101707","0101010160101707",4,10,1,3,NA,NA,1,1,98,1,1,98,1
"17","01010108880160101708","0101010160101708",1,11,2,3,NA,NA,1,1,98,1,1,98,1
"18","01010108880160103401","0101010160103401",78,NA,2,1,1,6,1,2,98,1,2,98,1
"19","01010108880160104901","0101010160104901",30,NA,2,1,1,4,1,2,98,1,2,98,1
"20","01010108880160104902","0101010160104902",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","01010108880160104903","0101010160104903",15,NA,2,3,1,1,1,2,4,14,1,98,14
"22","01010108880160104904","0101010160104904",12,NA,2,3,1,1,1,2,4,14,1,98,14
"23","01010108880160106401","0101010160106401",71,NA,1,1,1,2,1,2,98,1,2,98,1
"24","01010108880160106402","0101010160106402",66,NA,2,2,1,2,1,2,98,1,2,98,1
"25","01010108880160106403","0101010160106403",19,NA,2,3,1,2,1,1,98,1,1,98,1
"26","01010108880160106404","0101010160106404",13,NA,2,4,1,1,1,2,98,1,2,98,1
"27","01010108880160108001","0101010160108001",28,NA,2,1,1,4,1,2,98,1,2,98,1
"28","01010108880160108002","0101010160108002",9,NA,1,3,NA,NA,1,2,6,1,1,8,1
"29","01010108880160108003","0101010160108003",6,9,2,3,NA,NA,1,2,6,1,1,8,1
"30","01010108880160108004","0101010160108004",6,9,1,3,NA,NA,1,2,6,1,1,8,1
"31","01010108880160108701","0101010160108701",37,NA,1,1,1,2,1,2,98,1,2,98,1
"32","01010108880160108702","0101010160108702",30,NA,2,2,1,2,1,2,98,1,2,98,1
"33","01010108880160108703","0101010160108703",18,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","01010108880160108704","0101010160108704",7,NA,2,3,NA,NA,1,1,10,1,1,2,1
"35","01010108880160108705","0101010160108705",4,8,1,3,NA,NA,1,1,10,1,1,2,1
"36","01010108880160108706","0101010160108706",NA,9,2,3,NA,NA,1,1,10,1,1,2,1
"37","01010108880160110101","0101010160110101",32,NA,1,1,1,2,1,2,98,1,2,98,1
"38","01010108880160110102","0101010160110102",22,NA,2,2,1,2,1,2,98,1,2,98,1
"39","01010108880160110103","0101010160110103",7,NA,1,3,NA,NA,1,1,3,1,1,6,1
"40","01010108880160110104","0101010160110104",3,1,1,3,NA,NA,1,1,3,1,1,6,1
"41","01010108880160110105","0101010160110105",10,NA,2,3,1,1,1,1,3,1,1,6,1
